,Date,S&P500
0,2014-10-31,1956.021818181818
1,2014-11-30,2044.572105263158
2,2014-12-31,2054.2663636363636
3,2015-01-31,2028.1785
4,2015-02-28,2082.1957894736843
5,2015-03-31,2079.9904545454547
6,2015-04-30,2094.862857142857
7,2015-05-31,2111.9435
8,2015-06-30,2099.283636363636
9,2015-07-31,2094.1436363636367
10,2015-08-31,2039.8661904761907
11,2015-09-30,1944.4023809523808
12,2015-10-31,2024.8127272727272
13,2015-11-30,2080.6165
14,2015-12-31,2054.0795454545455
15,2016-01-31,1918.5978947368421
16,2016-02-29,1904.4185000000002
17,2016-03-31,2021.9540909090908
18,2016-04-30,2075.535238095238
19,2016-05-31,2065.5509523809524
20,2016-06-30,2083.8913636363636
21,2016-07-31,2148.902
22,2016-08-31,2177.4821739130434
23,2016-09-30,2157.6909523809527
24,2016-10-31,2143.0209523809526
25,2016-11-30,2164.985714285714
26,2016-12-31,2246.6290476190475
27,2017-01-31,2275.116
28,2017-02-28,2329.9105263157894
29,2017-03-31,2366.822173913043
30,2017-04-30,2359.3094736842104
31,2017-05-31,2395.345909090909
32,2017-06-30,2433.9854545454546
33,2017-07-31,2454.1025
34,2017-08-31,2456.223043478261
35,2017-09-30,2492.841
36,2017-10-31,2556.997272727273
37,2017-11-30,2593.6057142857144
38,2017-12-31,2664.3405
39,2018-01-31,2789.8038095238094
40,2018-02-28,2705.1552631578948
41,2018-03-31,2702.7738095238096
42,2018-04-30,2653.625238095238
43,2018-05-31,2701.4936363636366
44,2018-06-30,2754.3528571428574
45,2018-07-31,2793.6433333333334
46,2018-08-31,2857.8204347826086
47,2018-09-30,2901.5005263157896
48,2018-10-31,2785.4647826086957
49,2018-11-30,2723.229523809524
50,2018-12-31,2567.3073684210526
51,2019-01-31,2607.3900000000003
52,2019-02-28,2754.8642105263157
53,2019-03-31,2803.9838095238097
54,2019-04-30,2903.8
55,2019-05-31,2854.7059090909092
56,2019-06-30,2890.166
57,2019-07-31,2996.1136363636365
58,2019-08-31,2897.498181818182
59,2019-09-30,2982.156
60,2019-10-31,2977.675217391304
61,2019-11-30,3104.9044999999996
62,2019-12-31,3176.749523809524
63,2020-01-31,3278.202857142857
64,2020-02-29,3277.314210526316
65,2020-03-31,2652.3936363636367
66,2020-04-30,2761.975238095238
67,2020-05-31,2919.6150000000002
68,2020-06-30,3104.6609090909087
69,2020-07-31,3207.6190909090906
70,2020-08-31,3391.71
71,2020-09-30,3365.516666666667
72,2020-10-31,3418.701363636363
73,2020-11-30,3548.9925000000003
74,2020-12-31,3695.3100000000004
75,2021-01-31,3793.748421052632
76,2021-02-28,3883.432105263158
77,2021-03-31,3910.508260869565
78,2021-04-30,4141.176190476191
79,2021-05-31,4167.8495
80,2021-06-30,4238.489545454546
81,2021-07-31,4363.7128571428575
82,2021-08-31,4454.206363636364
83,2021-09-30,4445.543333333333
84,2021-10-31,4460.7071428571435
85,2021-11-30,4667.386666666666
86,2021-12-31,4674.772727272727
87,2022-01-31,4573.8155
88,2022-02-28,4435.98052631579
89,2022-03-31,4391.265217391305
90,2022-04-30,4391.296
91,2022-05-31,4040.3599999999997
92,2022-06-30,3898.9466666666667
93,2022-07-31,3911.7295
94,2022-08-31,4158.563043478261
95,2022-09-30,3850.520476190476
96,2022-10-31,3726.050952380953
97,2022-11-30,3917.488571428571
98,2022-12-31,3912.3809523809523
99,2023-01-31,3960.6565
100,2023-02-28,4079.684736842105
101,2023-03-31,3968.5591304347827
102,2023-04-30,4121.467368421053
103,2023-05-31,4146.173181818182
104,2023-06-30,4345.372857142857
105,2023-07-31,4508.0755
106,2023-08-31,4457.358695652174
107,2023-09-30,4409.094999999999
108,2023-10-31,4269.4009090909085
109,2023-11-30,4460.0633333333335
110,2023-12-31,4685.0515
111,2024-01-31,4804.4914285714285
112,2024-02-29,5011.961499999999
113,2024-03-31,5170.5725
114,2024-04-30,5112.492727272727
115,2024-05-31,5235.225454545455
116,2024-06-30,5415.140526315789
117,2024-07-31,5538.004545454546
118,2024-08-31,5478.214545454545
119,2024-09-30,5621.2605
120,2024-10-31,5768.422500000001
